"Sta","Latitude","Longitude","Elevation","Dist","EvAz","Phase","Time","TRes"
OXD,51.76670,-1.25000,61.0,68.08,318.0,S,09:02:25.0,-58.6
OXD,51.76670,-1.25000,61.0,68.08,318.0,P,08:54:31.0,6.5
OXD,51.76670,-1.25000,61.0,68.08,318.0,S,09:03:17.0,-6.6
BID,53.40000,-3.06667,60.0,68.69,320.0,P,08:54:25.0,-3.3
BID,53.40000,-3.06667,60.0,68.69,320.0,S,09:03:25.0,-5.7
FBR,41.41640,2.12500,405.0,68.82,306.6,P,08:54:27,-2.5
FBR,41.41640,2.12500,405.0,68.82,306.6,PR1,08:58:08,___
FBR,41.41640,2.12500,405.0,68.82,306.6,S,09:03:29,-3.9
FBR,41.41640,2.12500,405.0,68.82,306.6,S,09:03:29,-3.9
FBR,41.41640,2.12500,405.0,68.82,306.6,L,09:16:39,___
FBR,41.41640,2.12500,405.0,68.82,306.6,M,09:23:26,___
FBR,41.41640,2.12500,405.0,68.82,306.6,M,09:25:23,___
FBR,41.41640,2.12500,405.0,68.82,306.6,M,09:27:24,___
FBR,41.41640,2.12500,405.0,68.82,306.6,M,09:30:56,___
FBR,41.41640,2.12500,405.0,68.82,306.6,M,09:31:13,___
FBR,41.41640,2.12500,405.0,68.82,306.6,P,08:54:27.0,-2.5
FBR,41.41640,2.12500,405.0,68.82,306.6,S,09:03:29.0,-3.9
ALG,36.77170,3.05833,59.0,69.58,301.6,P,08:54:27.0,-7.2
ALG,36.77170,3.05833,59.0,69.58,301.6,S,09:03:31.0,-10.9
BDB,43.06500,0.14833,561.0,69.72,308.8,P,08:54:40.0,5.0
EBR,40.82060,0.49361,50.0,70.18,306.4,P,08:54:10.0,-27.8
EBR,40.82060,0.49361,50.0,70.18,306.4,S,09:03:28.0,-20.8
EBR,40.82060,0.49361,50.0,70.18,306.4,P,08:54:13.0,-24.8
EBR,40.82060,0.49361,50.0,70.18,306.4,S,09:03:25.0,-23.8
SCO,70.48330,-21.95000,69.0,70.84,340.3,P,08:54:51.0,9.7
SCO,70.48330,-21.95000,69.0,70.84,340.3,S,09:04:01.0,5.5
ALI,38.35530,-0.48725,35.0,71.71,304.2,P,08:54:51.0,3.9
ALI,38.35530,-0.48725,35.0,71.71,304.2,S,09:04:07.0,0.3
ALM,36.85253,-2.45978,65.0,73.71,303.3,P,08:54:47.0,-12.1
ALM,36.85253,-2.45978,65.0,73.71,303.3,S,09:03:25.0,-64.5
REY,64.12780,-21.90500,44.0,73.75,334.3,P,08:55:07.0,8.3
REY,64.12780,-21.90500,44.0,73.75,334.3,S,09:04:38.0,9.0
TOL,39.88140,-4.04861,480.0,73.76,306.7,P,08:54:53.0,-6.4
TOL,39.88140,-4.04861,480.0,73.76,306.7,S,09:04:30.0,-0.1
CRT,37.19000,-3.59556,774.0,74.43,304.0,P,08:54:57.0,-6.4
CRT,37.19000,-3.59556,774.0,74.43,304.0,SKiKP,09:04:30.0,0.4
MAL,36.72750,-4.41111,60.0,75.21,303.8,P,08:55:03.0,-4.8
MAL,36.72750,-4.41111,60.0,75.21,303.8,SKiKP,09:04:38.0,7.3
PTO,41.13861,-8.60222,88.0,76.48,309.3,P,08:55:22.0,7.0
PTO,41.13861,-8.60222,88.0,76.48,309.3,S,09:04:56.0,-4.2
SFS,36.46561,-6.20553,21.0,76.64,304.2,P,08:55:13.0,-2.9
SFS,36.46561,-6.20553,21.0,76.64,304.2,S,09:05:01.0,-1.1
SFS,36.46561,-6.20553,21.0,76.64,304.2,P,08:55:21.0,5.1
SFS,36.46561,-6.20553,21.0,76.64,304.2,S,09:04:50.0,-12.1
JOH,-26.18170,28.07500,1806.0,77.19,231.8,P,08:55:18.0,-1.3
JOH,-26.18170,28.07500,1806.0,77.19,231.8,S,09:05:12.0,3.4
ADE,-34.96690,138.70900,655.0,78.83,138.6,P,08:55:31.0,3.0
ADE,-34.96690,138.70900,655.0,78.83,138.6,SKiKP,09:04:25.0,-11.3
MEL,-37.83139,144.97333,28.0,84.49,137.4,P,08:56:00,2.2
MEL,-37.83139,144.97333,28.0,84.49,137.4,08:56:14,___,_i
MEL,-37.83139,144.97333,28.0,84.49,137.4,S,09:06:24,0.1
MEL,-37.83139,144.97333,28.0,84.49,137.4,SS,09:12:13,17.7
MEL,-37.83139,144.97333,28.0,84.49,137.4,SSS,09:16:02,___
MEL,-37.83139,144.97333,28.0,84.49,137.4,M,09:34:00,___
MEL,-37.83139,144.97333,28.0,84.49,137.4,P,08:56:00.0,2.2
MEL,-37.83139,144.97333,28.0,84.49,137.4,SKiKP,09:05:25.0,39.6
IVI,61.20581,-48.17119,15.0,84.90,339.8,P,08:56:04.0,4.4
IVI,61.20581,-48.17119,15.0,84.90,339.8,S,09:06:47.0,19.6
RIV,-33.82940,151.15800,25.0,85.98,131.1,P,08:56:09.0,3.6
RIV,-33.82940,151.15800,25.0,85.98,131.1,S,09:06:32.0,-6.8
SYD,-33.86670,151.20000,43.0,86.03,131.1,P,08:56:06.0,0.4
SYD,-33.86670,151.20000,43.0,86.03,131.1,S,09:06:36.0,-3.3
CTO,-33.95000,18.45000,100.0,88.49,230.5,P,08:56:21.0,3.5
CTO,-33.95000,18.45000,100.0,88.49,230.5,S,09:06:44.0,-18.9
SIT,57.05690,-135.32440,19.0,89.22,21.4,P,08:56:29.0,8.3
SIT,57.05690,-135.32440,19.0,89.22,21.4,S,09:06:10.0,-59.3
DAK,14.66670,-17.43330,30.0,95.52,289.4,P,08:57:00.0,9.4
SUV,-18.14890,178.45700,6.0,99.61,105.4,Pdif,08:57:00.0,-8.9
SUV,-18.14890,178.45700,6.0,99.61,105.4,S,09:07:55.0,-47.0
VIC,48.51940,-123.41500,197.0,100.27,19.7,Pdif,08:57:11.0,-0.3
VIC,48.51940,-123.41500,197.0,100.27,19.7,S,09:07:49.0,___
SAS,52.13330,-106.63300,515.0,100.47,8.2,S,09:08:00.0,___
SAS,52.13330,-106.63300,515.0,100.47,8.2,PP,09:01:31.0,13.3
HON,21.32420,-158.00100,2.0,101.23,59.2,Pdif,08:57:40.0,23.9
HON,21.32420,-158.00100,2.0,101.23,59.2,S,09:08:03.0,___
SEA,47.65500,-122.30800,30.0,101.37,19.5,Pdif,08:57:44.0,27.7
SEA,47.65500,-122.30800,30.0,101.37,19.5,S,09:08:00.0,___
HAL,44.63770,-63.59200,64.0,103.78,338.6,S,09:08:09.0,___
HAL,44.63770,-63.59200,64.0,103.78,338.6,PP,09:01:54.0,11.2
NPZ,-39.06404,174.07350,34.0,104.58,126.5,PP,09:02:00.0,9.8
CHR,-43.53113,172.62682,8.0,105.30,131.2,Pdif,08:57:38.0,4.4
CHR,-43.53113,172.62682,8.0,105.30,131.2,S,09:08:11.0,___
ARA,-38.07152,175.64351,65.0,105.35,125.1,S,09:08:27.0,___
ARA,-38.07152,175.64351,65.0,105.35,125.1,PP,09:02:42.0,46.0
GLE,-42.89831,173.09514,74.0,105.41,130.5,PS,09:10:24.0,-47.8
WEL,-41.28403,174.76820,138.0,105.92,128.4,Pdif,08:57:30.0,-6.4
WEL,-41.28403,174.76820,138.0,105.92,128.4,S,09:09:30.0,___
BZM,45.66690,-111.04500,1490.0,106.03,12.8,Pdif,08:58:05.0,27.7
BZM,45.66690,-111.04500,1490.0,106.03,12.8,S,09:09:34.0,___
OTT,45.39420,-75.71670,77.0,106.28,347.1,P,09:01:18.0,___
OTT,45.39420,-75.71670,77.0,106.28,347.1,S,09:08:20.0,___
API,-13.80720,-171.77500,2.0,106.36,97.4,S,09:08:30.0,___
API,-13.80720,-171.77500,2.0,106.36,97.4,PP,09:02:18.0,14.2
HRV,42.50640,-71.55830,200.0,108.07,343.2,Pdif,08:58:01.0,14.8
HRV,42.50640,-71.55830,200.0,108.07,343.2,S,09:09:36.0,___
TNT,43.66670,-79.40000,111.0,108.63,349.3,Pdif,08:57:58.0,9.4
TNT,43.66670,-79.40000,111.0,108.63,349.3,S,09:08:32.0,___
UKI,39.13720,-123.21100,199.0,108.66,24.1,Pdif,08:58:16.0,27.1
UKI,39.13720,-123.21100,199.0,108.66,24.1,S,09:08:30.0,___
BRK,37.87353,-122.26100,49.4,110.13,24.0,P,09:01:49.0,___
BRK,37.87353,-122.26100,49.4,110.13,24.0,PS,09:11:00.0,-59.0
FOR,40.86310,-73.88560,24.0,110.20,344.3,S,09:08:39.0,___
FOR,40.86310,-73.88560,24.0,110.20,344.3,PP,09:02:37.0,7.2
PAC,37.41670,-122.18200,83.0,110.56,24.2,PP,09:02:18.0,-14.6
AAM,42.30120,-83.65670,172.0,110.57,352.3,P,09:01:54.0,___
AAM,42.30120,-83.65670,172.0,110.57,352.3,S,09:09:06.0,___
MHC,37.34164,-121.64258,1250.4,110.82,23.8,P,09:02:06.0,___
PIT,40.44500,-79.95330,273.0,111.86,349.0,S,09:08:32.0,___
PIT,40.44500,-79.95330,273.0,111.86,349.0,PP,09:02:52.0,10.3
TIN,37.05422,-118.23009,1197.0,112.25,21.3,Pdif,08:58:42.0,36.9
TIN,37.05422,-118.23009,1197.0,112.25,21.3,PS,09:12:28.0,9.1
GEO,38.90000,-77.06670,29.0,112.80,346.2,Pdif,08:58:16.0,8.7
